INPUT_TABLE
Variable ID
12

sector,subsector,subsector2,technology,year,pollutant
intermediate generation,coal,coal_int_conv pul 1981-1985,coal (conv pul) (dry cooling),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1981-1985,coal (conv pul) (once through),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1981-1985,coal (conv pul) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1981-1985,coal (conv pul) (seawater),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1986-1990,coal (conv pul) (cooling pond),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1986-1990,coal (conv pul) (once through),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1986-1990,coal (conv pul) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1986-1990,coal (conv pul) (seawater),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1991-1995,coal (conv pul) (cooling pond),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1991-1995,coal (conv pul) (dry cooling),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1991-1995,coal (conv pul) (once through),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1991-1995,coal (conv pul) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1991-1995,coal (conv pul) (seawater),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1996-2000,coal (conv pul) (cooling pond),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1996-2000,coal (conv pul) (once through),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1996-2000,coal (conv pul) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 1996-2000,coal (conv pul) (seawater),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2001-2005,coal (conv pul) (cooling pond),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2001-2005,coal (conv pul) (dry cooling),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2001-2005,coal (conv pul) (once through),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2001-2005,coal (conv pul) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2006-2010,coal (conv pul) (cooling pond),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2006-2010,coal (conv pul) (dry cooling),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2006-2010,coal (conv pul) (once through),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2006-2010,coal (conv pul) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2011-2015,coal (conv pul) (cooling pond),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2011-2015,coal (conv pul) (dry cooling),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2011-2015,coal (conv pul) (once through),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul 2011-2015,coal (conv pul) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul before 1950,coal (conv pul) (cooling pond),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul before 1950,coal (conv pul) (once through),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul before 1950,coal (conv pul) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul,coal (conv pul) (cooling pond),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul,coal (conv pul) (dry cooling),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul,coal (conv pul) (once through),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul,coal (conv pul) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul,coal (conv pul) (seawater),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (dry cooling),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (seawater),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul_retire_2020,coal (conv pul) (cooling pond),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul_retire_2020,coal (conv pul) (dry cooling),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul_retire_2020,coal (conv pul) (once through),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul_retire_2020,coal (conv pul) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_conv pul_retire_2020,coal (conv pul) (seawater),2015,CO2_ELEC
intermediate generation,coal,coal_int_IGCC,coal (IGCC) (dry cooling),2015,CO2_ELEC
intermediate generation,coal,coal_int_IGCC,coal (IGCC) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_IGCC,coal (IGCC) (seawater),2015,CO2_ELEC
intermediate generation,coal,coal_int_IGCC_CCS,coal (IGCC CCS) (dry cooling),2015,CO2_ELEC
intermediate generation,coal,coal_int_IGCC_CCS,coal (IGCC CCS) (recirculating),2015,CO2_ELEC
intermediate generation,coal,coal_int_IGCC_CCS,coal (IGCC CCS) (seawater),2015,CO2_ELEC
intermediate generation,gas,gas_int_CC,gas (CC) (cooling pond),2015,CO2_ELEC
intermediate generation,gas,gas_int_CC,gas (CC) (dry cooling),2015,CO2_ELEC
intermediate generation,gas,gas_int_CC,gas (CC) (once through),2015,CO2_ELEC
intermediate generation,gas,gas_int_CC,gas (CC) (recirculating),2015,CO2_ELEC
intermediate generation,gas,gas_int_CC,gas (CC) (seawater),2015,CO2_ELEC
intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (dry cooling),2015,CO2_ELEC
intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (recirculating),2015,CO2_ELEC
intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (seawater),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_CC,refined liquids (CC) (dry cooling),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_CC,refined liquids (CC) (recirculating),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_CC,refined liquids (CC) (seawater),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_CC_CCS,refined liquids (CC CCS) (dry cooling),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_CC_CCS,refined liquids (CC CCS) (recirculating),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_CC_CCS,refined liquids (CC CCS) (seawater),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_steam/CT,refined liquids (steam/CT) (cooling pond),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_steam/CT,refined liquids (steam/CT) (dry cooling),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_steam/CT,refined liquids (steam/CT) (once through),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_steam/CT,refined liquids (steam/CT) (recirculating),2015,CO2_ELEC
intermediate generation,refined liquids,refined liquids_int_steam/CT,refined liquids (steam/CT) (seawater),2015,CO2_ELEC
intermediate generation,solar,CSP_int,CSP_int (dry_hybrid),2015,CO2_ELEC
intermediate generation,solar,CSP_int,CSP_int (recirculating),2015,CO2_ELEC
intermediate generation,solar,PV_int,PV_int,2015,CO2_ELEC
intermediate generation,wind,wind_int,wind_int,2015,CO2_ELEC
peak generation,coal,coal_peak_conv pul,coal (conv pul) (cooling pond),2015,CO2_ELEC
peak generation,coal,coal_peak_conv pul,coal (conv pul) (dry cooling),2015,CO2_ELEC
peak generation,coal,coal_peak_conv pul,coal (conv pul) (once through),2015,CO2_ELEC
peak generation,coal,coal_peak_conv pul,coal (conv pul) (recirculating),2015,CO2_ELEC
peak generation,coal,coal_peak_conv pul,coal (conv pul) (seawater),2015,CO2_ELEC
peak generation,coal,coal_peak_conv pul_retire_2020,coal (conv pul) (cooling pond),2015,CO2_ELEC
peak generation,coal,coal_peak_conv pul_retire_2020,coal (conv pul) (dry cooling),2015,CO2_ELEC
